"Category","Mann (Gulskogen stasjon (2.23)), 31.12.2024 - 30.12.2025","Kvinne (Gulskogen stasjon (2.23)), 31.12.2024 - 30.12.2025"
"0-5",2442.9613100582205,2241.5169718513075
"6-12",3092.481927960851,2952.1896770277904
"13-15",1464.858573207549,1383.6500203552735
"16-18",1487.3549176722613,1406.401051230846
"19-23",2393.4307996564294,2274.503403507365
"23-34",6484.892871062908,6140.968361910492
"35-44",5982.4508552394855,5483.57476096728
"45-54",5770.845560865154,5333.251235457017
"55-64",4824.446607631684,4700.158480239823
"65-74",3486.547411995774,3815.384797979448
"75-84",2323.6417658356822,2885.7859805582843
"85+",636.5148115874948,1120.99015623726