"Category","Gulskogen stasjon (2.23), Besøkende, 01.07.2025 - 31.12.2025","Gulskogen stasjon (2.23), På jobb, 01.07.2025 - 31.12.2025","Gulskogen stasjon (2.23), Hjemme, 01.07.2025 - 31.12.2025"
"00:00",944,490,6251
"01:00",929,633,5754
"02:00",1265,1081,6137
"03:00",1176,1101,6171
"04:00",1166,1126,6178
"05:00",1188,1204,6157
"06:00",1232,1527,6031
"07:00",1354,2330,5748
"08:00",1364,3201,5236
"09:00",1395,3665,4836
"10:00",1580,4127,4599
"11:00",1756,4538,4414
"12:00",2029,4546,4297
"13:00",2397,4188,4379
"14:00",2705,3590,4710
"15:00",2914,2655,5263
"16:00",2893,1747,5782
"17:00",2873,1250,6107
"18:00",2725,935,6402
"19:00",2277,723,6692
"20:00",1769,589,6943
"21:00",1261,505,7086
"22:00",1076,499,7049
"23:00",1002,521,6905