Estimert omsetning (eks mva) fra fysiske utsalgssteder,,,,,,,,
Legg til i portefølje,,,,,,,,
"Oppdatert: Januar 30, 2026",,,,,,,,
Data for valgt område,,,,,,,,
Vis,,,,,,,,
#,Navn,Type,Adresse,Kommune,Omsetning,YoY-vekst,Ansatte,Markedsandel
#1,Mal Proff Drammen,Handel / Hus og bygg,SYRETÅRNET 15,Drammen,"NOK 138 mill.

8% av kjede","12%

(%)","7

148 i 13 lokasjoner","6.77%

i området"
#2,Elkjøp,Handel / Elektrobutikker,GULDLISTEN 35,Drammen,"NOK 117 mill.

0.8% av kjede","-3%

(%)","41

3910 i 130 lokasjoner","5.71%

i området"
#3,Rema 1000 Gulskogen,Handel / Mat og drikke,PROFESSOR SMITHS ALLE 54,Drammen,"NOK 97 mill.

0.2% av kjede","0.9%

(%)","25

13090 i 672 lokasjoner","4.78%

i området"
#4,Meny Gulskogen,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 92 mill.

0.5% av kjede","4%

(%)","40

8981 i 184 lokasjoner","4.51%

i området"
#5,Uno-X Gulskogen,Handel / Bil og Båt,PROFESSOR SMITHS ALLE 56,Drammen,"NOK 88 mill.

0.5% av kjede","5%

(%)","0

28 i 227 lokasjoner","4.33%

i området"
#6,Montér Gulskogen,Handel / Hus og bygg,SYRETÅRNET 3,Drammen,"NOK 80 mill.

0.8% av kjede","-8%

(%)","16

2624 i 160 lokasjoner","3.91%

i området"
#7,Xxl Sport & Villmark Gulskogen,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 65 mill.

2% av kjede","-11%

(%)","44

2309 i 42 lokasjoner","3.2%

i området"
#8,Apotek 1 Gulskogen,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 64 mill.

0.4% av kjede","1%

(%)","23

6981 i 447 lokasjoner","3.13%

i området"
#9,Luxia AS,Handel / Elektrobutikker,LIERSTRANDA,Drammen,"NOK 60 mill.

-","-

(%)","12

12 i 1 lokasjoner","2.94%

i området"
#10,Apotek 1 Gulskogen Senter,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 56 mill.

0.4% av kjede","-4%

(%)","20

6981 i 447 lokasjoner","2.72%

i området"
#11,Kiwi Minipris Gulskogen,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 49 mill.

0.1% av kjede","6%

(%)","13

14363 i 728 lokasjoner","2.38%

i området"
#12,Lichi AS,Handel / Klesbutikker,KNUD SCHARTUMS GATE 7,Drammen,"NOK 49 mill.

-","-14%

(%)","43

42 i 1 lokasjoner","2.4%

i området"
#13,Eplehuset Drammen,Handel / Elektrobutikker,BRAGERNES TORG 6,Drammen,"NOK 45 mill.

4% av kjede","-6%

(%)","10

283 i 26 lokasjoner","2.21%

i området"
#14,Hennes & Mauritz Gulskogen,Handel / Klesbutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 42 mill.

0.9% av kjede","0.3%

(%)","28

2770 i 102 lokasjoner","2.05%

i området"
#15,Fredrik Og Louisa Gulskogen,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 41 mill.

4% av kjede","41%

(%)","17

408 i 36 lokasjoner","2.03%

i området"
#16,Clas Ohlson Drammen Gulskogen Senter,Handel / Annen handel,PROFESSOR SMITHS ALLE 56,Drammen,"NOK 39 mill.

1.0% av kjede","6%

(%)","18

1844 i 102 lokasjoner","1.93%

i området"
#17,G-Sport Gulskogen Drammen,Handel / Sport og fritid,PROFESSOR SMITHS ALLE,Drammen,"NOK 36 mill.

4% av kjede","-4%

(%)","24

742 i 51 lokasjoner","1.75%

i området"
#18,Kicks Gulskogen Senter,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 27 mill.

5% av kjede","2%

(%)","13

688 i 68 lokasjoner","1.31%

i området"
#19,Lindex Gulskogen Senter,Handel / Klesbutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 23 mill.

1% av kjede","0.7%

(%)","19

1111 i 96 lokasjoner","1.11%

i området"
#20,Mcdonald's Gulskogen,Mat og opplevelser / Restaurant,GULDLISTEN 35,Drammen,"NOK 23 mill.

0.6% av kjede","-14%

(%)","27

5379 i 83 lokasjoner","1.15%

i området"
#21,Gina Tricot Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 22 mill.

4% av kjede","70%

(%)","11

330 i 39 lokasjoner","1.07%

i området"
#22,Normal Gulskogen Senter,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 22 mill.

0.7% av kjede","-21%

(%)","14

2205 i 164 lokasjoner","1.09%

i området"
#23,Specsavers Gulskogen,Tjenester / Profesjoner,GULDLISTEN 35,Drammen,"NOK 20 mill.

2% av kjede","3%

(%)","14

930 i 81 lokasjoner","0.98%

i området"
#24,Magnussen Eurosko Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 20 mill.

1% av kjede","-19%

(%)","15

1541 i 200 lokasjoner","0.99%

i området"
#25,Norrøna Concept Store Gulskogen,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 20 mill.

8% av kjede","-11%

(%)","9

111 i 12 lokasjoner","0.99%

i området"
#26,Ikea AS Ikea Planning Studio Dramme,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 20 mill.

0.3% av kjede","272%

(%)","8

2976 i 24 lokasjoner","1%

i området"
#27,Kappahl Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 18 mill.

1% av kjede","11%

(%)","13

1074 i 99 lokasjoner","0.86%

i området"
#28,Tri Sport Sport1 Gulskogen Senter,Handel / Sport og fritid,GULDLISTEN 20,Drammen,"NOK 17 mill.

0.5% av kjede","599%

(%)","11

2274 i 177 lokasjoner","0.81%

i området"
#29,Cubus Gulskogen,Handel / Klesbutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 17 mill.

0.7% av kjede","-19%

(%)","12

1634 i 176 lokasjoner","0.81%

i området"
#30,Kid Interiør Gulskogen Senter,Handel / Hjem og interiør,PROFESSOR SMITHS ALLE,Drammen,"NOK 17 mill.

0.8% av kjede","13%

(%)","11

1438 i 157 lokasjoner","0.83%

i området"
#31,Rituals Gulskogen Senter,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 15 mill.

2% av kjede","-3%

(%)","15

661 i 53 lokasjoner","0.74%

i området"
#32,Panduro Hobby Gulskogen Senter,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 14 mill.

5% av kjede","-8%

(%)","9

231 i 26 lokasjoner","0.68%

i området"
#33,Dressmann Gulskogen Senter,Handel / Klesbutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 13 mill.

0.8% av kjede","25%

(%)","10

1061 i 135 lokasjoner","0.62%

i området"
#34,Kjell & Co Norway No024 Gulskogen,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 13 mill.

3% av kjede","6%

(%)","6

190 i 29 lokasjoner","0.62%

i området"
#35,Silsand Is,Handel / Mat og drikke,NEDRE EIKERVEI 8,Drammen,"NOK 13 mill.

-","-

(%)","0

0 i 1 lokasjoner","0.63%

i området"
#36,Norli Libris Gulskogen Senter,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 13 mill.

0.8% av kjede","22%

(%)","9

1600 i 180 lokasjoner","0.63%

i området"
#37,Baker Hansen Gulskogen,Mat og opplevelser / Bakeri og kafé,GULDLISTEN 35,Drammen,"NOK 12 mill.

3% av kjede","3%

(%)","20

518 i 34 lokasjoner","0.57%

i området"
#38,Liang Juan Cafe & Restaurant Gulskogen,Mat og opplevelser / Bakeri og kafé,PROFESSOR SMITHS ALLE,Drammen,"NOK 12 mill.

-","-0.9%

(%)","9

13 i 1 lokasjoner","0.59%

i området"
#39,Synsam Gulskogen,Tjenester / Profesjoner,GULDLISTEN 35,Drammen,"NOK 12 mill.

0.9% av kjede","-10%

(%)","9

1071 i 136 lokasjoner","0.6%

i området"
#40,Me & My Cousin Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 12 mill.

-","-13%

(%)","8

9 i 1 lokasjoner","0.6%

i området"
#41,Vic Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 12 mill.

2% av kjede","14%

(%)","8

443 i 63 lokasjoner","0.61%

i området"
#42,Kozmos Gulskogen Senter,Handel / Sport og fritid,DRAMMEN,Drammen,"NOK 11 mill.

5% av kjede","-8%

(%)","18

351 i 46 lokasjoner","0.51%

i området"
#43,Jernia Gulskogen,Handel / Hus og bygg,PROFESSOR SMITHS ALLE 56,Drammen,"NOK 11 mill.

0.7% av kjede","-6%

(%)","8

1219 i 134 lokasjoner","0.53%

i området"
#44,Jordbærpikene Gulskogen,Mat og opplevelser / Bakeri og kafé,GULDLISTEN 35,Drammen,"NOK 11 mill.

3% av kjede","2%

(%)","17

774 i 45 lokasjoner","0.54%

i området"
#45,Mestergull Olsen Gulskogen,Tjenester / Profesjoner,GULDLISTEN 35,Drammen,"NOK 11 mill.

5% av kjede","-1%

(%)","10

252 i 35 lokasjoner","0.54%

i området"
#46,Kitch'n Gulskogen Senter,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 11 mill.

0.9% av kjede","-3%

(%)","10

1216 i 151 lokasjoner","0.55%

i området"
#47,Smak Av Italia AS Avd Gulskogen,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 11 mill.

14% av kjede","8%

(%)","8

60 i 7 lokasjoner","0.55%

i området"
#48,Sport Outlet Gulskogen 106 AS,Handel / Sport og fritid,GULDLISTEN 20,Drammen,"NOK 11 mill.

1% av kjede","-

(%)","8

814 i 74 lokasjoner","0.56%

i området"
#49,Skoringen Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 10 mill.

2% av kjede","17%

(%)","7

569 i 71 lokasjoner","0.47%

i området"
#50,Søstrene Grene Drammen,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 10 mill.

3% av kjede","7%

(%)","10

346 i 36 lokasjoner","0.48%

i området"
#51,Frost Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 10 mill.

-","0.7%

(%)","7

7 i 1 lokasjoner","0.48%

i området"
#52,Nille Gulskogen,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 10 mill.

0.6% av kjede","3%

(%)","13

2248 i 315 lokasjoner","0.48%

i området"
#53,Mester Grønn Gulskogen Senter,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 10 mill.

0.6% av kjede","1%

(%)","9

1430 i 149 lokasjoner","0.49%

i området"
#54,Telenorbutikken Gulskogen,Handel / Elektrobutikker,GULDLISTEN 35,Drammen,"NOK 10 mill.

1% av kjede","0%

(%)","0

389 i 78 lokasjoner","0.49%

i området"
#55,La Baguette Gulskogen,Mat og opplevelser / Barer,GULDLISTEN 35,Drammen,"NOK 10 mill.

13% av kjede","1%

(%)","15

123 i 11 lokasjoner","0.5%

i området"
#56,Volt Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 10 mill.

2% av kjede","7%

(%)","7

308 i 38 lokasjoner","0.51%

i området"
#57,Gull-Funn Gulskogen,Tjenester / Profesjoner,PROFESSOR SMITHS ALLE,Drammen,"NOK 10 mill.

3% av kjede","-6%

(%)","7

274 i 42 lokasjoner","0.51%

i området"
#58,Lampehuset Gulskogen Senter,Handel / Elektrobutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 9 mill.

3% av kjede","10%

(%)","6

279 i 41 lokasjoner","0.43%

i området"
#59,Carlings Gulskogen Senter,Handel / Klesbutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 9 mill.

2% av kjede","-5%

(%)","9

513 i 75 lokasjoner","0.43%

i området"
#60,Skogstad Gulskogen,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 9 mill.

23% av kjede","33%

(%)","12

99 i 9 lokasjoner","0.43%

i området"
#61,The Vibe,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 9 mill.

-","0.5%

(%)","9

7 i 1 lokasjoner","0.43%

i området"
#62,Bjørklund Gulskogen,Tjenester / Profesjoner,GULDLISTEN 35,Drammen,"NOK 9 mill.

2% av kjede","9%

(%)","7

598 i 77 lokasjoner","0.44%

i området"
#63,Kjøkkenstudio Lillestrøm AS,Handel / Hus og bygg,STORGATA 6 A,Drammen,"NOK 9 mill.

-","19%

(%)","2

2 i 1 lokasjoner","0.44%

i området"
#64,Boys Of Europe Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 9 mill.

1% av kjede","1%

(%)","5

362 i 65 lokasjoner","0.45%

i området"
#65,Merhebia Finest AS,Tjenester / Byråer,VINTERGATA 19,Drammen,"NOK 9 mill.

-","15%

(%)","6

9 i 1 lokasjoner","0.46%

i området"
#66,Christiania Glasmagasin Gulskogen,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 8 mill.

2% av kjede","-4%

(%)","7

254 i 52 lokasjoner","0.37%

i området"
#67,Zizzi Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 8 mill.

4% av kjede","-13%

(%)","7

174 i 34 lokasjoner","0.37%

i området"
#68,Home & Cottage Gulskogen Senter,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 8 mill.

3% av kjede","-37%

(%)","6

237 i 23 lokasjoner","0.39%

i området"
#69,Buddy - Zoo Huset Gulskogen,Handel / Annen handel,GULDLISTEN,Drammen,"NOK 8 mill.

4% av kjede","-8%

(%)","16

272 i 30 lokasjoner","0.41%

i området"
#70,Feel Gulskogen,Handel / Hus og bygg,GULDLISTEN 35,Drammen,"NOK 7 mill.

3% av kjede","0.2%

(%)","9

330 i 45 lokasjoner","0.33%

i området"
#71,Espresso House Gulskogen Senter,Mat og opplevelser / Bakeri og kafé,GULDLISTEN 35,Drammen,"NOK 7 mill.

1% av kjede","1%

(%)","11

940 i 66 lokasjoner","0.33%

i området"
#72,B-Young Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 7 mill.

1% av kjede","11%

(%)","7

596 i 88 lokasjoner","0.33%

i området"
#73,Life Gulskogen Senter,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 7 mill.

1% av kjede","23%

(%)","6

525 i 92 lokasjoner","0.34%

i området"
#74,Dna Gulskogen,Handel / Klesbutikker,PROFESSOR SMITHS ALLE 56,Drammen,"NOK 7 mill.

3% av kjede","-8%

(%)","5

247 i 33 lokasjoner","0.35%

i området"
#75,Shoeday Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 7 mill.

4% av kjede","-8%

(%)","5

108 i 33 lokasjoner","0.35%

i området"
#76,Ark Gulskogen Senter,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 7 mill.

0.4% av kjede","2%

(%)","5

1314 i 159 lokasjoner","0.36%

i området"
#77,Follestad Trend AS,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 7 mill.

-","-18%

(%)","12

11 i 1 lokasjoner","0.36%

i området"
#78,Change Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 6 mill.

2% av kjede","6%

(%)","9

361 i 50 lokasjoner","0.28%

i området"
#79,Telia Gulskogen Senter,Handel / Elektrobutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 6 mill.

1% av kjede","-40%

(%)","9

618 i 53 lokasjoner","0.29%

i området"
#80,Katana Sushi,Mat og opplevelser / Restaurant,GULDLISTEN 35,Drammen,"NOK 6 mill.

-","0.5%

(%)","6

11 i 1 lokasjoner","0.31%

i området"
#81,Bik Bok Gulskogen Senter,Handel / Klesbutikker,PROFESSOR SMITHS ALLE,Drammen,"NOK 6 mill.

1% av kjede","4%

(%)","7

602 i 88 lokasjoner","0.31%

i området"
#82,Flying Tiger Copenhagen Gulskogen Senter,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 5 mill.

3% av kjede","-17%

(%)","10

345 i 45 lokasjoner","0.22%

i området"
#83,Match Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 5 mill.

0.4% av kjede","1%

(%)","10

894 i 113 lokasjoner","0.23%

i området"
#84,Mango Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 5 mill.

3% av kjede","1%

(%)","10

171 i 15 lokasjoner","0.23%

i området"
#85,Morris Gulskogen Senter,Handel / Annen handel,PROFESSOR SMITHS ALLE,Drammen,"NOK 5 mill.

4% av kjede","55%

(%)","8

195 i 52 lokasjoner","0.24%

i området"
#86,Vila Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 5 mill.

5% av kjede","-21%

(%)","6

88 i 13 lokasjoner","0.24%

i området"
#87,Kremmerhuset Ting & Sånt Gulskogen,Handel / Hjem og interiør,PROFESSOR SMITHS ALLE 56,Drammen,"NOK 5 mill.

2% av kjede","5%

(%)","10

517 i 78 lokasjoner","0.25%

i området"
#88,Europris Gulskogen 641,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 5 mill.

0.1% av kjede","-

(%)","9

4020 i 287 lokasjoner","0.25%

i området"
#89,Skechers Retail Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 5 mill.

11% av kjede","-

(%)","6

45 i 2 lokasjoner","0.25%

i området"
#90,Princess Gulskogen Senter,Handel / Hjem og interiør,PROFESSOR SMITHS ALLE,Drammen,"NOK 5 mill.

0.5% av kjede","0.4%

(%)","6

1228 i 169 lokasjoner","0.26%

i området"
#91,Cutters Gulskogen Senter,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 5 mill.

2% av kjede","47%

(%)","7

459 i 104 lokasjoner","0.26%

i området"
#92,Name It Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 4 mill.

2% av kjede","-26%

(%)","4

214 i 34 lokasjoner","0.18%

i området"
#93,Amundsen Spesial Gulskogen Senter,Handel / Mat og drikke,DRAMMEN,Drammen,"NOK 4 mill.

-","268%

(%)","5

12 i 1 lokasjoner","0.18%

i området"
#94,Jack & Jones Gulskogen Senter 88815,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 4 mill.

1% av kjede","-

(%)","5

517 i 68 lokasjoner","0.18%

i området"
#95,Sunkost Butikk AS Sunkost Gulskogen,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 4 mill.

-","527%

(%)","6

11 i 3 lokasjoner","0.2%

i området"
#96,Hollywood Nails Gulskogen AS,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 4 mill.

-","-10%

(%)","8

9 i 1 lokasjoner","0.22%

i området"
#97,Nikita Hair,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 3 mill.

-","28%

(%)","9

7 i 1 lokasjoner","0.13%

i området"
#98,Jack & Jones Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 3 mill.

0.7% av kjede","-33%

(%)","8

517 i 68 lokasjoner","0.13%

i området"
#99,Shopnor Sør AS,Handel / Klesbutikker,NEDRE EIKERVEI 26,Drammen,"NOK 3 mill.

-","-11%

(%)","11

9 i 1 lokasjoner","0.14%

i området"
#100,Amigos Barbershop AS,Tjenester / Skjønnhet og velvære,PROFESSOR SMITHS ALLE 55,Drammen,"NOK 3 mill.

-","52%

(%)","4

3 i 1 lokasjoner","0.14%

i området"
#101,Glitter Gulskogen,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 3 mill.

1% av kjede","-4%

(%)","6

435 i 58 lokasjoner","0.15%

i området"
#102,Drammensklinikken Gulskogen Senter,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 3 mill.

-","-27%

(%)","14

12 i 1 lokasjoner","0.15%

i området"
#103,Salong Hage 2 Etasje Gulskogen,Tjenester / Skjønnhet og velvære,PROFESSOR SMITHS ALLE,Drammen,"NOK 3 mill.

-","11%

(%)","6

6 i 1 lokasjoner","0.15%

i området"
#104,Salong Hage 1 Etasje Gulskogen,Tjenester / Skjønnhet og velvære,PROFESSOR SMITHS ALLE,Drammen,"NOK 3 mill.

-","11%

(%)","6

6 i 1 lokasjoner","0.15%

i området"
#105,London Calling AS Avdeling The Body,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 3 mill.

-","-

(%)","5

6 i 1 lokasjoner","0.16%

i området"
#106,Sprell Butikk AS Avd Gulskogen,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 3 mill.

-","2%

(%)","8

9 i 1 lokasjoner","0.16%

i området"
#107,Ice Retail AS Avd Gulskogen,Handel / Elektrobutikker,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","-

(%)","0

0 i 1 lokasjoner","0.07%

i området"
#108,Sayso Hair & Stile Gulskogen,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 2 mill.

1% av kjede","-51%

(%)","2

212 i 35 lokasjoner","0.08%

i området"
#109,Lagerhaus AS Avd 179 Drammen Gulsko,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","2167%

(%)","5

5 i 1 lokasjoner","0.09%

i området"
#110,Party King & Queen AS,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","-91%

(%)","64

61 i 1 lokasjoner","0.09%

i området"
#111,Smartrens1 AS,Tjenester / Andre tjenester,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","-0.3%

(%)","4

3 i 1 lokasjoner","0.09%

i området"
#112,Funky Kioskdrift AS Avd Gulskogen,Mat og opplevelser / Restaurant,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","-

(%)","0

0 i 1 lokasjoner","0.1%

i området"
#113,Vero Moda Gulskogen Senter,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 2 mill.

0.6% av kjede","-33%

(%)","8

593 i 79 lokasjoner","0.1%

i området"
#114,Cut'n Go Gulskogen AS,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","-

(%)","5

5 i 1 lokasjoner","0.11%

i området"
#115,Vita Gulskogen,Handel / Smykker og parfyme,GULDLISTEN 35,Drammen,"NOK 2 mill.

0.2% av kjede","-10%

(%)","7

991 i 127 lokasjoner","0.11%

i området"
#116,Smoothie Xchange AS Avd Gulskogen,Mat og opplevelser / Restaurant,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","884%

(%)","9

2 i 1 lokasjoner","0.11%

i området"
#117,Tilbords Gulskogen,Handel / Hjem og interiør,GULDLISTEN 35,Drammen,"NOK 2 mill.

-","-52%

(%)","7

7 i 1 lokasjoner","0.11%

i området"
#118,Th. Ødegaard Dame Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 1 mill.

1% av kjede","-5%

(%)","0

101 i 18 lokasjoner","0.05%

i området"
#119,Th. Ødegaard Dame Gulskogen,Handel / Klesbutikker,GULDLISTEN 35,Drammen,"NOK 1 mill.

11% av kjede","-5%

(%)","0

20 i 5 lokasjoner","0.05%

i området"
#120,Hawaiian Ice,Handel / Mat og drikke,LEIV ERIKSONS GATE 4,Drammen,"NOK 1 mill.

-","-29%

(%)","0

0 i 1 lokasjoner","0.05%

i området"
#121,Clinique Anina Gulskogen,Tjenester / Skjønnhet og velvære,PROFESSOR SMITHS ALLE,Drammen,"NOK 500k

-","-22%

(%)","0

0 i 1 lokasjoner","0.02%

i området"
#122,Singsanan Setthasat,Mat og opplevelser / Restaurant,DRAMMEN,Drammen,"NOK 500k

-","-51%

(%)","0

4 i 1 lokasjoner","0.02%

i området"
#123,Crossfit Drammen AS,Tjenester / Treningssentre,VINTERGATA 11,Drammen,"NOK 490k

-","-11%

(%)","9

8 i 1 lokasjoner","0.02%

i området"
#124,Gulskogen Foto AS,Tjenester / Profesjoner,GULDLISTEN 35,Drammen,"NOK 250k

-","-90%

(%)","11

14 i 1 lokasjoner","0.01%

i området"
#125,Konnerud Eiendom AS,Tjenester / Profesjoner,LIEBAKKEN 26,Drammen,"NOK 230k

-","-13%

(%)","0

0 i 1 lokasjoner","0.01%

i området"
#126,Park Lane Frisør Gulskogen,Tjenester / Skjønnhet og velvære,GULDLISTEN 35,Drammen,"NOK 130k

3% av kjede","-94%

(%)","7

11 i 3 lokasjoner","0.01%

i området"
#127,Sigmabad AS,Handel / Hjem og interiør,NEDRE EIKERVEI 26,Drammen,"NOK 130k

-","30%

(%)","1

1 i 1 lokasjoner","0.01%

i området"