"Category","Gulskogen stasjon (2.23), 31.12.2024 - 30.12.2025"
"0 NOK",7688.314540199008
"0 NOK - NOK 100k",8268.589139172827
"NOK 100k - NOK 200k",10568.143239734965
"NOK 200k - NOK 300k",12925.150461613059
"NOK 300k - NOK 400k",12421.518830174517
"NOK 400k - NOK 500k",9274.653578638796
"NOK 500k - NOK 600k",6017.73829361379
"NOK 600k - NOK 700k",3921.972028446278
"NOK 700k - NOK 800k",2415.1079456340926
"NOK 800k - NOK 1 mill.",5175.469419379015
"NOK 1 mill. - NOK 1,5 mill.",712.1462809818219
"NOK 1,5 mill.+",737.6266548139521