"Category","Uavhengig (mNOK)","Kjeder (mNOK)"
"2015",14.464495903484984,85.535504096515
"2016",13.302807110055632,86.69719288994435
"2017",11.791278171604047,88.20872182839595
"2018",12.967390432006873,87.03260956799315
"2019",12.98530363412227,87.01469636587773
"2020",15.049690252316413,84.95030974768358
"2021",16.40186982852262,83.59813017147738
"2022",19.296853797591226,80.70314620240876
"2023",18.30857679329993,81.69142320670008
"2024",11.822176141227358,88.17782385877263
"2025",13.589225894509486,86.41077410549052