"Bydelnavn","Kategori (Nivå 1)","Kategori (Nivå 2)","%"
"Gulskogen stasjon (2.23)","Mat og opplevelser","Restaurant",3.1
"Gulskogen stasjon (2.23)","Mat og opplevelser","Bakeri og kafé",3.1
"Gulskogen stasjon (2.23)","Mat og opplevelser","Barer",0.8
"Gulskogen stasjon (2.23)","Handel","Hus og bygg",3.9
"Gulskogen stasjon (2.23)","Handel","Bil og Båt",0.8
"Gulskogen stasjon (2.23)","Handel","Elektrobutikker",4.7
"Gulskogen stasjon (2.23)","Handel","Klesbutikker",25.8
"Gulskogen stasjon (2.23)","Handel","Smykker og parfyme",5.5
"Gulskogen stasjon (2.23)","Handel","Sport og fritid",8.6
"Gulskogen stasjon (2.23)","Handel","Mat og drikke",9.4
"Gulskogen stasjon (2.23)","Handel","Annen handel",7.8
"Gulskogen stasjon (2.23)","Handel","Hjem og interiør",9.4
"Gulskogen stasjon (2.23)","Tjenester","Skjønnhet og velvære",9.4
"Gulskogen stasjon (2.23)","Tjenester","Profesjoner",5.5
"Gulskogen stasjon (2.23)","Tjenester","Andre tjenester",0.8
"Gulskogen stasjon (2.23)","Tjenester","Byråer",0.8
"Gulskogen stasjon (2.23)","Tjenester","Treningssentre",0.8